Rk.,Year,teamID,PA,Total Shifts,%,PA,Shifts,%,wOBA,PA,Shifts,%,wOBA
1,2022,LAN,"5,832","3,042",52.2,"3,745","1,571",41.9,0.299,"2,087","1,471",70.5,0.269
2,2022,HOU,"5,813","2,932",50.4,"3,244",824,25.4,0.28,"2,569","2,108",82.1,0.259
3,2022,TOR,"6,037","3,039",50.3,"3,405","1,460",42.9,0.329,"2,632","1,579",60,0.301
4,2022,SEA,"5,956","2,698",45.3,"3,642","1,234",33.9,0.324,"2,314","1,464",63.3,0.261
5,2022,MIA,"6,032","2,649",43.9,"3,607","1,303",36.1,0.329,"2,425","1,346",55.5,0.307
6,2022,MIN,"6,020","2,639",43.8,"3,562",916,25.7,0.326,"2,458","1,723",70.1,0.306
7,2022,CHA,"6,124","2,352",38.4,"3,389",617,18.2,0.321,"2,735","1,735",63.4,0.298
8,2022,CHN,"6,076","2,307",38,"3,556",789,22.2,0.315,"2,520","1,518",60.2,0.323
9,2022,NYN,"5,936","2,244",37.8,"3,511","1,105",31.5,0.292,"2,425","1,139",47,0.326
10,2022,DET,"6,030","2,228",36.9,"3,773",727,19.3,0.302,"2,257","1,501",66.5,0.322
11,2022,TEX,"6,149","2,202",35.8,"3,978",843,21.2,0.345,"2,171","1,359",62.6,0.301
12,2022,BOS,"6,106","2,157",35.3,"3,878",581,15,0.32,"2,228","1,576",70.7,0.319
13,2022,LAA,"6,001","2,110",35.2,"3,860",770,19.9,0.322,"2,141","1,340",62.6,0.318
14,2022,WAS,"6,160","2,019",32.8,"3,584",454,12.7,0.38,"2,576","1,565",60.8,0.346
15,2022,OAK,"6,084","1,947",32,"3,794",744,19.6,0.319,"2,290","1,203",52.5,0.33
16,2022,SFN,"6,018","1,904",31.6,"3,699",612,16.5,0.322,"2,319","1,292",55.7,0.316
17,2022,PIT,"6,231","1,949",31.3,"3,617",586,16.2,0.351,"2,614","1,363",52.1,0.331
18,2022,ATL,"6,003","1,774",29.6,"3,432",781,22.8,0.315,"2,571",993,38.6,0.28
19,2022,CIN,"6,147","1,813",29.5,"3,509",353,10.1,0.301,"2,638","1,460",55.3,0.306
20,2022,ARI,"6,036","1,682",27.9,"3,752",552,14.7,0.368,"2,284","1,130",49.5,0.29
21,2022,SLN,"5,960","1,665",27.9,"3,622",630,17.4,0.309,"2,338","1,035",44.3,0.303
22,2022,PHI,"5,989","1,636",27.3,"3,615",560,15.5,0.333,"2,374","1,076",45.3,0.296
23,2022,TBA,"5,914","1,612",27.3,"3,993",800,20,0.331,"1,921",812,42.3,0.281
24,2022,MIL,"6,034","1,616",26.8,"3,798",555,14.6,0.323,"2,236","1,061",47.5,0.29
25,2022,KCA,"6,228","1,641",26.3,"3,837",500,13,0.336,"2,391","1,141",47.7,0.338
26,2022,NYA,"5,909","1,524",25.8,"3,783",395,10.4,0.331,"2,126","1,129",53.1,0.274
27,2022,SDN,"6,024","1,479",24.6,"3,651",181,5,0.286,"2,373","1,298",54.7,0.284
28,2022,BAL,"5,994","1,414",23.6,"3,769",380,10.1,0.373,"2,225","1,034",46.5,0.312
29,2022,CLE,"5,970","1,352",22.6,"3,454",205,5.9,0.274,"2,516","1,147",45.6,0.276
30,2022,COL,"6,216","1,153",18.5,"3,421",377,11,0.343,"2,795",776,27.8,0.326
